text,polarity,stem
ξοφλημένους,-1,ΞΟΦΛΗΜΕΝ
ωτακουστής,-1,ΩΤΑΚΟΥΣΤ
ωμός,-1,ΩΜ
ψωροφιλότιμος,-1,ΨΩΡΟΦΙΛΟΤΙΜ
ψωροπερήφανος,-1,ΨΩΡΟΠΕΡΗΦΑΝ
ψωροκακόμοιρος,-1,ΨΩΡΟΚΑΚΟΜΟΙΡ
ψωρίλας,-1,ΨΩΡΙΛ
ψωριάρης,-1,ΨΩΡΙΑΡ
ψωνισμένος,-1,ΨΩΝΙΣΜΕΝ
ψώνιο,-1,ΨΩΝΙ
ψωνάρα,-1,ΨΩΝΑΡ
ψωμόλυσσα,-1,ΨΩΜΟΛΥΣΣ
ψωλή,-1,ΨΩΛ
ψωλαράς,-1,ΨΩΛΑΡ
ψυχρότητα,-1,ΨΥΧΡΟΤΗΤ
ψυχρός,-1,ΨΥΧΡ
ψυχοπλάκωμα,-1,ΨΥΧΟΠΛΑΚΩΜ
ψυχανώμαλος,-1,ΨΥΧΑΝΩΜΑΛ
ψυχάκιας,-1,ΨΥΧΑΚΙ
ψοφολογώ,-1,ΨΟΦΟΛΟΓ
ψιλικατζής,-1,ΨΙΛΙΚΑΤΖ
ψηφοθηρικούς,-1,ΨΗΦΟΘΗΡΙΚ
ψεύτρες,-1,ΨΕΥΤΡ
ψευτοκουλτουριάρης,-1,ΨΕΥΤΟΚΟΥΛΤΟΥΡΙΑΡ
ψευτοεπαναστάτες,-1,ΨΕΥΤΟΕΠΑΝΑΣΤΑΤ
ψεύτης,-1,ΨΕΥΤ
ψευτάκος,-1,ΨΕΥΤΑΚ
ψευδαισθητικός,-1,ΨΕΥΔΑΙΣΘΗΤΙΚ
ψευδαισθησία,-1,ΨΕΥΔΑΙΣΘΗΣΙ
ψευδαίσθηση,-1,ΨΕΥΔΑΙΣΘΗΣ
ψέμματα,-1,ΨΕΜΜΑΤ
ψεκασμένος,-1,ΨΕΚΑΣΜΕΝ
ψειριάρης,-1,ΨΕΙΡΙΑΡ
ψείρα,-1,ΨΕΙΡ
ψαροκασέλα,-1,ΨΑΡΟΚΑΣΕΛ
ψάρι,-1,ΨΑΡ
χωριατομάνι,-1,ΧΩΡΙΑΤΟΜΑΝ
χωριάτισσα,-1,ΧΩΡΙΑΤΙΣΣ
χωριάτικος,-1,ΧΩΡΙΑΤΙΚ
χωριατιά,-1,ΧΩΡΙΑΤΙ
χωριάτης,-1,ΧΩΡΙΑΤ
χωριατάκι,-1,ΧΩΡΙΑΤΑΚ
χυλόπιτες,-1,ΧΥΛΟΠΙΤ
χυδαϊστής,-1,ΧΥΔΑΪΣΤ
χυδαϊσμός,-1,ΧΥΔΑΪΣΜ
χρυσόψαρου,-1,ΧΡΥΣΟΨΑΡ
χρυσοκάνθαρος,-1,ΧΡΥΣΟΚΑΝΘΑΡ
χρυσαφικό,-1,ΧΡΥΣΑΦΙΚ
χρυσαυγίτης,-1,ΧΡΥΣΑΥΓΙΤ
χρέη,-1,ΧΡΕ
χουντοτσίρκουλο,-1,ΧΟΥΝΤΟΤΣΙΡΚΟΥΛ
χουντικός,-1,ΧΟΥΝΤΙΚ
χοντρόπετσος,-1,ΧΟΝΤΡΟΠΕΤΣ
χοντρομπαλούδικο,-1,ΧΟΝΤΡΟΜΠΑΛΟΥΔΙΚ
χοντρομπαλάς,-1,ΧΟΝΤΡΟΜΠΑΛ
χοντρομπαλάδικο,-1,ΧΟΝΤΡΟΜΠΑΛΑΔΙΚ
χοντροκομμένο,-1,ΧΟΝΤΡΟΚΟΜΜΕΝ
χοντρέλα,-1,ΧΟΝΤΡΕΛ
χλευάζει,-1,ΧΛΕΥΑΖ
χέστης,-1,ΧΕΣΤ
χεστήκαμε,-1,ΧΕΣΤΗΚΑΜ
χεσμένες,-1,ΧΕΣΜΕΝ
χειροκροτητής,-1,ΧΕΙΡΟΚΡΟΤΗΤ
χεζάς,-1,ΧΕΖ
χαχόλος,-1,ΧΑΧΟΛ
χαστούκι,-1,ΧΑΣΤΟΥΚ
χασκογελάει,-1,ΧΑΣΚΟΓΕΛΑ
χασίκλας,-1,ΧΑΣΙΚΛ
χασάπης,-1,ΧΑΣΑΠ
χαρτοπόλεμος,-1,ΧΑΡΤΟΠΟΛΕΜ
χαρτόμουτρο,-1,ΧΑΡΤΟΜΟΥΤΡ
χαρτομάνι,-1,ΧΑΡΤΟΜΑΝ
χαρτογιακάς,-1,ΧΑΡΤΟΓΙΑΚ
χαρτοβασίλειο,-1,ΧΑΡΤΟΒΑΣΙΛΕΙ
χαρτοβαασίλειο,-1,ΧΑΡΤΟΒΑΑΣΙΛΕΙ
χαριτόβρυτος,-1,ΧΑΡΙΤΟΒΡΥΤ
χαριεντίζεσαι,-1,ΧΑΡΙΕΝΤΙΖΕΣ
χαρέμι,-1,ΧΑΡΕΜ
χάρβαλο,-1,ΧΑΡΒΑΛ
χαράτσια,-1,ΧΑΡΑΤΣΙ
χαπάκιας,-1,ΧΑΠΑΚΙ
χαντούμης,-1,ΧΑΝΤΟΥΜ
χαντάκι,-1,ΧΑΝΤΑΚ
χάνι,-1,ΧΑΝ
χαμουτζής,-1,ΧΑΜΟΥΤΖ
χαμηλοβλεπούσα,-1,ΧΑΜΗΛΟΒΛΕΠΟΥΣ
χαμάλης,-1,ΧΑΜΑΛ
χαλια,-1,ΧΑΛΙ
χάλι,-1,ΧΑΛ
χαλάζι,-1,ΧΑΛΑΖ
χαιρετούρα,-1,ΧΑΙΡΕΤΟΥΡ
χαιρέτισμα,-1,ΧΑΙΡΕΤΙΣΜ
χαιρέτημα,-1,ΧΑΙΡΕΤΗΜ
χαιρεκακία,-1,ΧΑΙΡΕΚΑΚΙ
χαϊμαλί,-1,ΧΑΪΜΑΛ
χαζοχαρούμενος,-1,ΧΑΖΟΧΑΡΟΥΜΕΝ
χαζούλιακας,-1,ΧΑΖΟΥΛΙΑΚ
χαζός,-1,ΧΑΖ
χαζοπούλι,-1,ΧΑΖΟΠΟΥΛ
χαζοκούτι,-1,ΧΑΖΟΚΟΥΤ
χαζοβιόλα,-1,ΧΑΖΟΒΙΟΛ
φωτορομάντσο,-1,ΦΩΤΟΡΟΜΑΝΤΣ
φώκια,-1,ΦΩΚΙ
φυλλάδα,-1,ΦΥΛΛΑΔ
φτωχός,-1,ΦΤΩΧ
φτωχαδάκι,-1,ΦΤΩΧΑΔΑΚ
φρούτο,-1,ΦΡΟΥΤ
φρόκαλο,-1,ΦΡΟΚΑΛ
φρίκη,-1,ΦΡΙΚ
φρενίτιδα,-1,ΦΡΕΝΙΤΙΔ
φρεναπάτη,-1,ΦΡΕΝΑΠΑΤ
φραγκόπαπας,-1,ΦΡΑΓΚΟΠΑΠ
φουστανέλα,-1,ΦΟΥΣΤΑΝΕΛ
φουσκωμάρα,-1,ΦΟΥΣΚΩΜΑΡ
φουσκοδεντριά,-1,ΦΟΥΣΚΟΔΕΝΤΡΙ
φούντωση,-1,ΦΟΥΝΤΩΣ
φουκαρατζίκος,-1,ΦΟΥΚΑΡΑΤΖΙΚ
φουκαράς,-1,ΦΟΥΚΑΡ
φόρτιση,-1,ΦΟΡΤΙΣ
φορτίο,-1,ΦΟΡΤΙ
φορτίζω,-1,ΦΟΡΤΙΖ
φοράδα,-1,ΦΟΡΑΔ
φοιτητοπατέρας,-1,ΦΟΙΤΗΤΟΠΑΤΕΡ
φοιτηταριό,-1,ΦΟΙΤΗΤΑΡΙ
φόβος,-1,ΦΟΒ
φλωροκουραμπιέδες,-1,ΦΛΩΡΟΚΟΥΡΑΜΠΙΕΔ
φλόγισμα,-1,ΦΛΟΓΙΣΜ
φλεγματικός,-1,ΦΛΕΓΜΑΤΙΚ
φλέγμα,-1,ΦΛΕΓΜ
φιόγκος,-1,ΦΙΟΓΚ
φιλοτομαριστής,-1,ΦΙΛΟΤΟΜΑΡΙΣΤ
φιλοτομαρισμός,-1,ΦΙΛΟΤΟΜΑΡΙΣΜ
φιλολογίζων,-1,ΦΙΛΟΛΟΓΙΖ
