text,polarity,stem
θρύλος,1,ΘΡΥΛ
βραβευτεί,1,ΒΡΑΒΕΥΤ
ωραία,1,ΩΡΑΙ
ψυχή,1,ΨΥΧ
ψυχεδελικός,1,ΨΥΧΕΔΕΛΙΚ
ψυχεδέλεια,1,ΨΥΧΕΔΕΛΕΙ
χορταστικός,1,ΧΟΡΤΑΣΤΙΚ
χιούμορ,1,ΧΙΟΥΜΟΡ
χιλιάκριβος,1,ΧΙΛΙΑΚΡΙΒ
χαρούμενος,1,ΧΑΡΟΥΜΕΝ
χαρά,1,ΧΑΡ
χαίρομαι,1,ΧΑΙΡΟΜ
χάδι,1,ΧΑΔ
φωτεινό,1,ΦΩΤΕΙΝ
φως,1,φως
φρόνημα,1,ΦΡΟΝΗΜ
φρεσκάδα,1,ΦΡΕΣΚΑΔ
φίλος,1,ΦΙΛ
φιλοπατρία,1,ΦΙΛΟΠΑΤΡΙ
φιλόξενος,1,ΦΙΛΟΞΕΝ
φιλία,1,ΦΙΛΙ
φιλάνθρωπος,1,ΦΙΛΑΝΘΡΩΠ
φιλανθρωπία,1,ΦΙΛΑΝΘΡΩΠΙ
φαβορί,1,ΦΑΒΟΡ
υψηλόφρων,1,ΥΨΗΛΟΦΡ
υπόβαθρο,1,ΥΠΟΒΑΘΡ
υπευθυνότητα,1,ΥΠΕΥΘΥΝΟΤΗΤ
υπεύθυνος,1,ΥΠΕΥΘΥΝ
υπερήφανος,1,ΥΠΕΡΗΦΑΝ
υπερηφάνεια,1,ΥΠΕΡΗΦΑΝΕΙ
ύμνος,1,ΥΜΝ
υγιής,1,ΥΓΙ
τυχερούλης,1,ΤΥΧΕΡΟΥΛ
τυχερός,1,ΤΥΧΕΡ
τυχεράκιας,1,ΤΥΧΕΡΑΚΙ
τρυφερότητα,1,ΤΡΥΦΕΡΟΤΗΤ
τρυφερός,1,ΤΡΥΦΕΡ
τρυγονάκι,1,ΤΡΥΓΟΝΑΚ
τρυγόνα,1,ΤΡΥΓΟΝ
τοκογλύφους,1,ΤΟΚΟΓΛΥΦ
τέρψη,1,ΤΕΡΨ
τέλειος,1,ΤΕΛΕΙ
ταξίδι,1,ΤΑΞΙΔ
ταξιδάκι,1,ΤΑΞΙΔΑΚ
τάξη,1,ΤΑΞ
ταλέντο,1,ΤΑΛΕΝΤ
ταλαντούχος,1,ΤΑΛΑΝΤΟΥΧ
σώφρων,1,ΣΩΦΡ
σωσίβιο,1,ΣΩΣΙΒΙ
σχηματικός,1,ΣΧΗΜΑΤΙΚ
σχετικός,1,ΣΧΕΤΙΚ
συστηματικός,1,ΣΥΣΤΗΜΑΤΙΚ
συνοδοιπόρος,1,ΣΥΝΟΔΟΙΠΟΡ
σύνθημα,1,ΣΥΝΘΗΜ
συνετός,1,ΣΥΝΕΤ
συνεταίρος,1,ΣΥΝΕΤΑΙΡ
συνεταιράκι,1,ΣΥΝΕΤΑΙΡΑΚ
συνεπής,1,ΣΥΝΕΠ
συνεπαίρνω,1,ΣΥΝΕΠΑΙΡΝ
συνεννοήσιμος,1,ΣΥΝΕΝΝΟΗΣΙΜ
συνείδηση,1,ΣΥΝΕΙΔΗΣ
σύνδεσμος,1,ΣΥΝΔΕΣΜ
συνδεδεμένος,1,ΣΥΝΔΕΔΕΜΕΝ
συναίτερος,1,ΣΥΝΑΙΤΕΡ
συναισθησία,1,ΣΥΝΑΙΣΘΗΣΙ
συναίσθηση,1,ΣΥΝΑΙΣΘΗΣ
συναισθηματισμός,1,ΣΥΝΑΙΣΘΗΜΑΤΙΣΜ
συναισθηματικότητα,1,ΣΥΝΑΙΣΘΗΜΑΤΙΚΟΤΗΤ
συναισθηματικός,1,ΣΥΝΑΙΣΘΗΜΑΤΙΚ
συναίσθημα,1,ΣΥΝΑΙΣΘΗΜ
συμφυής,1,ΣΥΜΦΥ
σύμπραξη,1,ΣΥΜΠΡΑΞ
συμπόνια,1,ΣΥΜΠΟΝΙ
συμπονετικός,1,ΣΥΜΠΟΝΕΤΙΚ
συμπαθητικός,1,ΣΥΜΠΑΘΗΤΙΚ
συμπαθής,1,ΣΥΜΠΑΘ
συμπάθεια,1,ΣΥΜΠΑΘΕΙ
συμμετοχή,1,ΣΥΜΜΕΤΟΧ
συμβολισμός,1,ΣΥΜΒΟΛΙΣΜ
συγχωρώ,1,ΣΥΓΧΩΡ
